		Img    	   rate    	 PSNR         SSIM
      01lenna 	  0.200 	 36.064 	 0.9315 
    02barbara 	  0.200 	 25.542 	 0.8086 
    03peppers 	  0.200 	 35.574 	 0.9019 
   04mandrill 	  0.200 	 24.339 	 0.7710 
   05goldhill 	  0.200 	 33.176 	 0.8925 
      06boats 	  0.200 	 33.023 	 0.8999 
  07cameraman 	  0.200 	 39.674 	 0.9819 
        08man 	  0.200 	 32.997 	 0.9173 
      09clown 	  0.200 	 36.356 	 0.9386 
     10couple 	  0.200 	 32.642 	 0.9146 
      11crowd 	  0.200 	 35.427 	 0.9648 
       12girl 	  0.200 	 39.348 	 0.9603 
       13lake 	  0.200 	 32.194 	 0.8921 
		Avg       0.200 	 33.566 	 0.9058 
