		Img    	   rate    	 PSNR         SSIM
       baboon 	  0.300 	 27.086 	 0.8287 
      barbara 	  0.300 	 30.636 	 0.9100 
       bridge 	  0.300 	 29.286 	 0.8952 
   coastguard 	  0.300 	 35.530 	 0.9502 
        comic 	  0.300 	 30.564 	 0.9490 
         face 	  0.300 	 36.625 	 0.9105 
      flowers 	  0.300 	 35.992 	 0.9603 
      foreman 	  0.300 	 38.734 	 0.9791 
        lenna 	  0.300 	 38.114 	 0.9416 
          man 	  0.300 	 32.566 	 0.9173 
      monarch 	  0.300 	 40.963 	 0.9841 
       pepper 	  0.300 	 38.148 	 0.9322 
         ppt3 	  0.300 	 37.803 	 0.9928 
        zebra 	  0.300 	 36.537 	 0.9667 
		Avg       0.300 	 34.899 	 0.9370 
