		Img    	   rate    	 PSNR         SSIM
       baboon 	  0.300 	 26.965 	 0.8209 	 0.1235 
      barbara 	  0.300 	 30.067 	 0.8991 	 0.2154 
       bridge 	  0.300 	 29.094 	 0.8904 	 0.1438 
   coastguard 	  0.300 	 35.357 	 0.9481 	 0.0575 
        comic 	  0.300 	 30.323 	 0.9438 	 0.0474 
         face 	  0.300 	 36.500 	 0.9082 	 0.0383 
      flowers 	  0.300 	 35.430 	 0.9562 	 0.0911 
      foreman 	  0.300 	 38.290 	 0.9770 	 0.0532 
        lenna 	  0.300 	 37.796 	 0.9398 	 0.1278 
          man 	  0.300 	 32.377 	 0.9133 	 0.1308 
      monarch 	  0.300 	 39.918 	 0.9826 	 0.2125 
       pepper 	  0.300 	 37.936 	 0.9308 	 0.1321 
         ppt3 	  0.300 	 36.634 	 0.9916 	 0.1744 
        zebra 	  0.300 	 36.036 	 0.9645 	 0.1161 
		Avg       0.300 	 34.480 	 0.9333 	 0.1188 
